"Pour plus d'informations sur le contenu de ce fichier et notamment pour interpréter les codes remarques associés aux analyses, veuillez vous reporter au fichier de métadonnées.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Code BSS";"Nom Station";"Code paramètre";"Paramètre";"Unité";"AN";"ECART_TYPE";"NB";"MEDIANE";"PERCENTILE_10";"PERCENTILE_90";"MINI";"MAXI";"MOYENNE";"Code remarque";"NBNONQUANT";"CODE_FRACTANALY"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1091";"PCB77";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1091";"PCB77";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1091";"PCB77";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1091";"PCB77";"µg/L";"2018";"0";"2";",005";",005";",005";",005";",005";",005";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1091";"PCB77";"µg/L";"2019";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1092";"Prosulfocarbe";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1092";"Prosulfocarbe";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1092";"Prosulfocarbe";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1092";"Prosulfocarbe";"µg/L";"2015";"0";"3";",006";",006";",006";",006";",006";",006";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1092";"Prosulfocarbe";"µg/L";"2016";"0";"4";",006";",006";",006";",006";",006";",006";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1092";"Prosulfocarbe";"µg/L";"2017";"0";"4";",006";",006";",006";",006";",006";",006";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1092";"Prosulfocarbe";"µg/L";"2018";"0";"2";",005";",005";",005";",005";",005";",005";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1092";"Prosulfocarbe";"µg/L";"2019";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1093";"Thiodicarbe";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
